left_genes,left_loadings,right_genes,right_loadings
AT2G26550,-0.009272040126127187,AT2G08720,0.00013731200564771307
AT2G26690,-0.009437684245538302,AT2G08750,0.002800614742295735
AT2G26730,-0.009342145963296966,AT2G08780,0.003315233810655143
AT2G26900,-0.009163978406244142,AT2G08915,0.0005021286388796251
AT2G26910,-0.009226601747535548,AT2G09010,0.0001537071683967242
AT2G26930,-0.0092412289556517,AT2G09230,0.0009881806770956666
AT2G27230,-0.009150848418905445,AT2G09250,0.0005484275992116825
AT2G27385,-0.009128374570893336,AT2G09265,0.00013013874399680293
AT2G27840,-0.00914682596955353,AT2G09310,0.00036837105834468465
AT2G27970,-0.009015434787231361,AT2G09350,0.00142651131727748
AT2G28070,-0.008986615735114778,AT2G09370,0.0006129591091131569
AT2G28310,-0.00956694800456067,AT2G09435,0.00012659314211996623
AT2G28470,-0.009770263361097988,AT2G09470,0.000355068174760325
AT2G28950,-0.009414604146131319,AT2G09505,0.0003940302214286268
AT2G29390,-0.008987619936134908,AT2G09645,0.0002851550136907001
AT2G29530,-0.009749274615883397,AT2G09655,0.00013550984669685577
AT2G29550,-0.009414430740522076,AT2G09660,0.00041261095207833484
AT2G29570,-0.009200611609269143,AT2G09740,0.0009051662023730548
AT2G29980,-0.009207427097502899,AT2G09785,0.00021625945599861306
AT2G30010,-0.009673702819504915,AT2G09800,0.0005686337616833359
AT2G30200,-0.009310518436521663,AT2G09895,0.0004250468810441714
AT2G30600,-0.009013116705037736,AT2G10600,0.0004166580491443361
AT2G30930,-0.009476957167886458,AT2G11271,0.0003301126209088783
AT2G31750,-0.009398040333993518,AT2G11522,0.00020584831465029203
AT2G31790,-0.009579143926019442,AT2G12020,0.0005205839724139085
AT2G32230,-0.009182268087061433,AT2G12905,0.0007642333147845208
AT2G32500,-0.009293550179201955,AT2G13146,0.0003578832132275248
AT2G32520,-0.00945572450080749,AT2G13965,0.0004362987739487308
AT2G32650,-0.009876087439213803,AT2G14265,0.0001787126710986639
AT2G32990,-0.008984072171429094,AT2G14610,0.007201324075947332
AT2G33210,-0.009464874708899862,AT2G15640,0.00015424942214037376
AT2G33330,-0.009351480434123177,AT2G15680,0.0002761734393974749
AT2G33850,-0.009177607520231966,AT2G16015,0.00020342674824416567
AT2G34470,-0.009939815440163396,AT2G16040,0.00014378663097486214
AT2G34560,-0.009750285508896483,AT2G16586,0.0008579895679740547
AT2G34640,-0.009219186211741616,AT2G17090,0.00016919505829363874
AT2G34680,-0.009401161101954256,AT2G17180,0.00012684579405138348
AT2G34710,-0.009450820201799222,AT2G17730,0.0012563181613214082
AT2G35120,-0.009341073273358324,AT2G17740,0.01149446441084011
AT2G35470,-0.009268296873213202,AT2G18270,0.00046116895473802657
AT2G35620,-0.009319753029581549,AT2G18685,0.0008594815300517826
AT2G35736,-0.009723210627391374,AT2G19180,0.004099449297701885
AT2G35780,-0.009505225188115652,AT2G19190,0.011969102531018693
AT2G35810,-0.00899039844509269,AT2G19320,0.00022784925885167086
AT2G35860,-0.009742371933297184,AT2G19570,0.0016707624583722751
AT2G35880,-0.009939512170935468,AT2G20500,0.001321206990052751
AT2G36410,-0.00905810388359659,AT2G20555,0.00042665667444476076
AT2G36570,-0.00897863905175061,AT2G20610,0.0013877969888118568
AT2G36870,-0.009063185708488773,AT2G21110,0.0002823391263056518
AT2G37050,-0.00896209963394858,AT2G21185,0.0014029383301928137
AT2G37080,-0.009667388694130164,AT2G21480,0.0002244645515084289
AT2G37130,-0.010390469875076906,AT2G21930,0.000177873518990781
AT2G37170,-0.010582758000150778,AT2G22430,0.002048042299088946
AT2G37180,-0.009271607399356643,AT2G22880,0.0009737495602034148
AT2G37500,-0.00944617979234766,AT2G23670,0.004418720588947694
AT2G37600,-0.009363036783208975,AT2G24450,0.0002357976965908504
AT2G37630,-0.009061667268727933,AT2G24840,0.0003175997389943206
AT2G37990,-0.00917443243756671,AT2G24850,0.011152618662627114
AT2G38025,-0.009212950412577931,AT2G25297,0.005625310832509258
AT2G38120,-0.01000168721254655,AT2G25340,0.000523527346410059
AT2G38380,-0.00945202175052979,AT2G26160,0.0006179382754753074
AT2G38700,-0.00926417387418532,AT2G26390,0.0006932540283478591
AT2G38750,-0.009594867033172255,AT2G26400,0.008937701802132264
AT2G39080,-0.009677626919777308,AT2G27270,0.000149878484912046
AT2G39310,-0.010483753266495064,AT2G27280,0.00019519698603798292
AT2G39450,-0.009186740734931552,AT2G27390,0.002760869007816496
