genes,loadings
AT1G04550,-0.008506805092401934
AT1G04555,-0.006950771578862151
AT1G04557,-0.0002785119877302983
AT1G04560,-0.0010193254484399904
AT1G04563,-0.0016622882201831957
AT1G04567,-0.0019184531854548061
AT1G04570,-0.0028416670198907253
AT1G04573,0.00019294547489803358
AT1G04577,-0.0012035935604868884
AT1G04580,-0.000896769244494258
AT1G04583,-0.00022878344773598474
AT1G04587,-0.003953938611253364
AT1G04590,-0.008534726632074273
AT1G04593,4.5934886504385575e-06
AT1G04597,4.259361810455411e-06
AT1G04600,-0.0011034497754912175
AT1G04603,-1.036466852582872e-06
AT1G04607,2.658085710924492e-06
AT1G04610,-0.004008975538302068
AT1G04620,-0.007281077289298228
AT1G04623,-0.00015868724460589296
AT1G04625,-0.0003146181987703187
AT1G04630,-0.008770260669785411
AT1G04635,-0.005620846184565025
AT1G04640,-0.007674716300636525
AT1G04643,-0.0001923017987340655
AT1G04645,-0.0004221688635258046
AT1G04647,-0.0009810331362175829
AT1G04650,-0.004330715034860232
AT1G04653,1.4596588869819801e-05
AT1G04657,-0.00010212268842206619
AT1G04660,-0.002981757690252187
AT1G04667,2.1320020274318194e-06
AT1G04670,-0.00024522738515308536
AT1G04673,-3.359464661352845e-05
AT1G04677,-0.0002472281471699557
AT1G04680,-0.009793204307437986
AT1G04683,-0.000256900991300946
AT1G04687,3.726886974447257e-07
AT1G04690,-0.007971008328545423
AT1G04693,1.8174159383302294e-05
AT1G04697,-0.0006896474266739586
AT1G04700,-0.003746491828526382
AT1G04703,-9.019373894435276e-05
AT1G04707,-0.0010323121727235447
AT1G04710,-0.008212600192821783
AT1G04713,-0.00027351491535164765
AT1G04717,-5.763505679982991e-06
AT1G04720,-3.838956915649009e-06
AT1G04723,-0.00048261769684412783
AT1G04730,-0.0066899414898704
AT1G04733,-0.002089049895678614
AT1G04737,-0.00040361456722443474
AT1G04743,-0.0004998233916240488
AT1G04747,-9.893650918871608e-05
AT1G04750,-0.008105030963198721
AT1G04753,2.414213614754758e-05
AT1G04760,-0.005974584894834957
AT1G04763,-8.575312918415746e-05
AT1G04767,-0.0003107606130967369
AT1G04770,-0.008041489822552858
AT1G04773,0.00022438797073103483
AT1G04778,-0.0033654044204090906
AT1G04780,-0.0071234018837807835
AT1G04783,-5.95987268513482e-05
AT1G04787,2.8265641280939397e-05
AT1G04790,-0.007441301714635082
AT1G04793,-0.00018702183704608153
AT1G04797,-0.002218961037963346
AT1G04800,-0.003224651744401544
AT1G04803,-0.0010717256018123197
AT1G04807,-4.65451309607926e-05
AT1G04810,-0.007950647583053935
AT1G04813,-1.3851069736185508e-05
AT1G04817,-0.0006642161522202755
AT1G04820,-0.008109008250332018
AT1G04823,0.0002686945692074046
AT1G04827,-0.002005724186291417
AT1G04830,-0.007700109586691711
AT1G04833,0.0003310896370682975
AT1G04837,-0.0060629748146252835
AT1G04840,-0.0033550348828886556
AT1G04847,-0.00016147794421590217
AT1G04850,-0.00785377076989687
AT1G04853,-0.0025888164206820385
AT1G04857,-0.00021082073543747905
AT1G04860,-0.007186008760483561
AT1G04863,-2.2317064531359802e-05
AT1G04867,1.6958157193437491e-06
