SampleID,family,TissueClean,stress,AboveBelow,VegetativeRepro,true_labels,predictions
SRR8692639,Solanaceae,Leaf,other,Above,Vegetative,7,7
SRR8692623,Solanaceae,Leaf,healthy,Above,Vegetative,7,7
SRR8692624,Solanaceae,Leaf,healthy,Above,Vegetative,7,7
SRR8692625,Solanaceae,Leaf,healthy,Above,Vegetative,7,7
SRR8692599,Solanaceae,Leaf,healthy,Above,Vegetative,7,16
SRR8692600,Solanaceae,Leaf,healthy,Above,Vegetative,7,16
SRR8692629,Solanaceae,Leaf,healthy,Above,Vegetative,7,16
SRR8692596,Solanaceae,Leaf,healthy,Above,Vegetative,7,16
SRR8692601,Solanaceae,Leaf,healthy,Above,Vegetative,7,7
SRR8692602,Solanaceae,Leaf,healthy,Above,Vegetative,7,16
SRR8692620,Solanaceae,Leaf,healthy,Above,Vegetative,7,16
SRR8692621,Solanaceae,Leaf,healthy,Above,Vegetative,7,16
SRR8692622,Solanaceae,Leaf,healthy,Above,Vegetative,7,16
SRR8692580,Solanaceae,Leaf,healthy,Above,Vegetative,7,16
SRR8692618,Solanaceae,Leaf,healthy,Above,Vegetative,7,16
SRR8692619,Solanaceae,Leaf,healthy,Above,Vegetative,7,16
SRR8692595,Solanaceae,Leaf,healthy,Above,Vegetative,7,7
SRR8692597,Solanaceae,Leaf,healthy,Above,Vegetative,7,7
SRR8692598,Solanaceae,Leaf,healthy,Above,Vegetative,7,7
SRR8692579,Solanaceae,Leaf,salt,Above,Vegetative,7,7
SRR8692594,Solanaceae,Leaf,salt,Above,Vegetative,7,7
SRR8692644,Solanaceae,Leaf,salt,Above,Vegetative,7,7
SRR8692593,Solanaceae,Leaf,salt,Above,Vegetative,7,7
SRR8692616,Solanaceae,Leaf,salt,Above,Vegetative,7,7
SRR8692617,Solanaceae,Leaf,salt,Above,Vegetative,7,7
SRR8692588,Solanaceae,Leaf,salt,Above,Vegetative,7,7
SRR8692641,Solanaceae,Leaf,salt,Above,Vegetative,7,7
SRR8692642,Solanaceae,Leaf,salt,Above,Vegetative,7,7
