genes,loadings
AT1G11400,-0.013205846179538768
AT1G11430,-0.015190688601561878
AT1G11475,-0.015720002436178042
AT1G11480,-0.013018215334057536
AT1G11530,-0.01451554570326998
AT1G11545,-0.014927142322837195
AT1G11560,-0.0007581356723608183
AT1G11600,-0.011459167236381521
AT1G11660,-0.013150260992035227
AT1G11680,-0.014016735204631542
AT1G11700,-0.011594852645861645
AT1G11720,-0.015139229186879584
AT1G11740,-0.004036161482752354
AT1G11750,-0.015387228566283205
AT1G11755,-0.013590737668597317
AT1G11760,-0.011960517509887528
AT1G11780,-0.011921244580896457
AT1G11860,-0.012550205959915127
AT1G11870,-0.014282281766123284
AT1G11880,-0.011238866041961735
AT1G11890,-0.014036542628770672
AT1G11900,-0.0103521159654557
AT1G11915,-0.0048811931923682765
AT1G11930,-0.014989576990209677
AT1G11940,-0.011536273333699477
AT1G11990,-0.0019002543252506145
AT1G12000,-0.01511248687703575
AT1G12030,-0.004200612986292864
AT1G12050,-0.015357975125650531
AT1G12060,-0.010166319097739487
AT1G12150,-0.002614576763349682
AT1G12230,-0.014642414622807406
AT1G12244,-0.014513255279451086
AT1G12250,-0.016002523704930036
AT1G12270,-0.01270054658046591
AT1G12310,-0.006456256280544003
AT1G12330,-0.01522057006303395
AT1G12350,-0.014050682470295162
AT1G12370,-0.010986016467190394
AT1G12410,-0.014587699541148623
AT1G12420,-0.010802904574886512
AT1G12450,-0.011269511855536046
AT1G12460,-0.01232825523501126
AT1G12470,-0.014000071496380386
AT1G12520,-0.014311252614400354
AT1G12560,-0.0038333145873743263
AT1G12580,-0.013933844959072069
AT1G12600,-0.002994117918999979
AT1G12640,-0.011786103275058765
AT1G12650,-0.014083826950445005
AT1G12680,-0.012345166496688266
AT1G12730,-0.012092829821886674
AT1G12770,-0.014515787063333292
AT1G12780,-0.01215387794283375
AT1G12790,-0.010034675685335486
AT1G12800,-0.016769930564994172
AT1G12840,-0.013059080869935026
AT1G12850,-0.01296737695537616
AT1G12860,-0.015057718066830062
AT1G12900,-0.014934085518855373
AT1G12930,-0.013652094942659346
AT1G12970,-0.011042249472476971
AT1G13020,-0.013108466161730743
AT1G13030,-0.013616295523718323
AT1G13040,-0.009312383614233973
AT1G13060,-0.013983579526888156
AT1G13120,-0.013381256481908861
AT1G13140,-0.00522175409143591
AT1G13160,-0.014356006200120223
AT1G13170,-0.01449843835102423
AT1G13180,-0.012112881102472437
AT1G13220,-0.012567311393612307
AT1G13230,-0.0027699402668352616
AT1G13270,-0.016229304008122825
AT1G13280,-0.015296403260376441
AT1G13330,-0.010683510827911743
AT1G13350,-0.01330214046970035
AT1G13380,-0.014851434711721208
AT1G13450,-0.01302928043902976
AT1G13560,-0.015094160297322733
AT1G13580,-0.011867209958433362
AT1G13635,-0.003746110521399078
AT1G13650,-0.011770605960613677
AT1G13680,-0.001082542035239399
AT1G13700,-0.012360274637236655
AT1G13770,-0.014059841127868171
AT1G13800,-0.005620026298159066
AT1G13820,-0.015406626089784933
AT1G13870,-0.012704127953717182
AT1G13880,-0.012751415124715927
AT1G13900,-0.011880201103515143
AT1G13910,-0.012006179096491928
AT1G13930,-0.009105620086870552
AT1G13980,-0.012327268140891764
AT1G13990,-0.011021274324348147
AT1G14000,-0.01363426976033844
AT1G14030,-0.015921778948689094
AT1G14140,-0.013238995491862623
AT1G14150,-0.014473975161384395
AT1G14180,-0.011977805363435925
AT1G14205,-0.01379963817436027
AT1G14230,-0.012618816748469371
AT1G14270,-0.016568264289214128
AT1G14300,-0.01360681654052002
AT1G14310,-0.014801809948849722
AT1G14345,-0.013624222366405776
AT1G14350,-0.014657586181350622
AT1G14360,-0.013061807267106387
AT1G14390,-0.004988720851490036
AT1G14410,-0.014789135762298301
AT1G14460,-0.012634496690997362
AT1G14490,-0.007025222871484955
AT1G14530,-0.011009126548417975
AT1G14560,-0.012395220247999775
AT1G14570,-0.014136879866525022
AT1G14610,-0.014887852154148624
AT1G14620,-0.014632506127449844
AT1G14630,-0.009633065048692045
AT1G14640,-0.007872181965170684
AT1G14660,-0.01041483249992329
AT1G14680,-0.006644899677527906
AT1G14686,-0.0004080248356262476
AT1G14690,-0.014963880220222629
AT1G14730,-0.00978142551588794
AT1G14740,-0.012534957550729031
AT1G14750,-0.005453068474754273
AT1G14780,-0.005617869434587261
AT1G14810,-0.014910009893116444
AT1G14850,-0.012720505991664197
AT1G14990,-0.013172061170165424
AT1G15020,-0.012016929179824587
AT1G15040,-0.00454325305306143
AT1G15060,-0.012940346496711563
AT1G15110,-0.011401024738348755
AT1G15130,-0.012628285114033475
AT1G15140,-0.014072839717964258
