AboveBelow,PC1,PC2
Above,-89.0545448554295,-1519.7383307835223
Above,-91.21618925044994,-1540.284626060501
Above,-86.95127119624809,-1516.818568217006
Above,-88.71946545602279,-1548.2000011309922
Above,-95.14921271996012,-1551.0283945195256
Above,-90.49743167559706,-1555.4128774581486
Above,-85.94665531582272,-1532.9552720925185
Above,-90.82545537566146,-1537.4223238643385
Above,-92.45884810492808,-1550.5900140738966
WholePlant,-82.96217275939475,-1580.166506489315
Above,-94.94129913614361,-1546.778004084017
Above,-93.42354727491501,-1538.376795074585
Above,-90.71988849970292,-1563.7411425084017
Above,-92.81862616341775,-1427.2829656745182
Above,-92.21378169631589,-1426.1308171716482
Above,-92.36417051111101,-1447.7184083469026
Above,-86.64701159781413,-1566.5756154419057
Below,-89.92880260595712,-1573.1140671810952
Above,-91.00919283152884,-1546.954790792973
Above,-94.31176831164669,-1538.4519583315891
Above,-92.6521303592546,-1530.787505678763
Above,-96.28683033461809,-1469.4313528594682
